Name	Role	Company	Attended
Aadil Shadman Malik	Chief Content Officer	ProPakistani	2 MWCs
Aamir Ibrahim	CEO Jazz	JazzWorld	2 MWCs & 1 M360
Aamir Ahsan Khan	President & CEO	Ericsson Pakistan	2 MWCs
Aaron Lopez Perez	CEO	Amplify Software SL	MWC26 Barcelona
Aaron Simpson	Founder CEO	Kindred	MWC26 Barcelona
Aaron Watson	CFO	iQmetrix	MWC26 Barcelona
Aarti Prabhu	Product Marketer	VVDN Technologies	MWC26 Barcelona
Abbey Alidoosti	CEO	AWTG Ltd	MWC26 Barcelona
Abbi Pilapitiya	Director/CEO	Sierra	MWC26 Barcelona
Abbo Bello	Director	Cameroon Telecommunications	MWC26 Barcelona
Abdallah Abzakh	Managing Director	DOTCONVERTECS	2 MWCs
Abdallah Touhami	Managing Director	Accenture	MWC26 Barcelona
Abdelmonem Mohamed Ahmed Khawaga	CEO	UNI group	MWC26 Barcelona
Abdelrahman Mohamed Fady Moh Aboelella	CTO	Digis Squared	MWC26 Barcelona
Abdujabor Kayumov	CEO Telecommunication Services	Beeline Kazakhstan (Kar-Tel LLP)	MWC26 Barcelona
Abdul Usmani	Chief Product Officer	PMCL - Jazz	MWC26 Barcelona
Abdul Wahab	Chief Delivery Officer	Truminds Software Systems	MWC26 Barcelona
Abdul Basit Alvi	VP of Product	ng-voice	MWC26 Barcelona
Abdulla Ebrahim Al Ahmed	CGVO	e&	MWC26 Barcelona
Abdullah Albusairi	COO/CPO	USim	2 MWCs
Abdullah Yildirim	Ceo	Globalfocus	MWC26 Barcelona
Abdun Naser Khan	Secretary	Posts and Telecommunications Division	MWC26 Barcelona
Abdun Naser Khan	Secretary	Posts and Telecommunications Division	MWC26 Barcelona
Abed Alzain	CTO	SellEnvo	MWC26 Barcelona
Abel Avellan	CEO	AST SpaceMobile	MWC26 Barcelona
Abhijit Kishore	Chief Executive Officer	Vodafone Idea Limited	MWC26 Barcelona
Abhinav Saxena	CTO	TAISYS Technologies Co., Ltd.	MWC26 Barcelona
Abhishek Malhotra	SVP& Business Head - Network Services	Tech Mahindra	MWC26 Barcelona
Abhishek Saxena	Managing Director	TAISYS Technologies Co., Ltd.	MWC26 Barcelona
Abhishek Srivastava	Vice President	Deutsche Telekom Digital Labs	MWC26 Barcelona
Abhrajit Ray	PARTNER	Deloitte Touche Tohmatsu India LLP	MWC26 Barcelona
Abolaji Idowu	CFO	9Mobile	MWC26 Barcelona
Achraf Ammour	Deputy General Director in charge of Morocco	DIGITAL VIRGO	MWC26 Barcelona
Ada Cervera	UX Researcher	Payment Innovation Hub	MWC26 Barcelona
Adam Anbari	GM	Azurreo	MWC26 Barcelona
Adam Andersson	VP of Sales & Business Development	BEAMMWAVE AB (@4YFN )	MWC26 Barcelona
Adam Butler	Director	Signal Solutions Limited	MWC26 Barcelona
Adam Emrich	Vice President, Solutions and Sales	Southern Linc	MWC26 Barcelona
Adam Epstein	Co-CEO and President	adMarketplace	MWC26 Barcelona
